flat,badrooms,bathrooms,location,sqm,price
True,2,2,Naramowice,52,270000.0
True,3,0,Jeżyce,78,330000.0
True,2,1,Stare,60,279000.0
True,2,6,Jeżyce,49,289000.0
True,4,1,Górczyn,90,449000.0
True,4,4,Stare,85,499000.0
True,2,16,Rataje,49,270000.0
True,2,0,Stare,44,295000.0
True,2,2,Dębiec,40,210000.0
True,3,1,Rataje,50,519000.0
True,4,0,Naramowice,40,490000.0
True,2,1,Stare,23,300000.0
True,3,4,Jeżyce,30,325000.0
True,2,13,Rataje,49,238000.0
True,3,1,Piątkowo,63,329000.0
True,2,0,Piątkowo,43,270000.0
True,3,0,Grunwald,70,395000.0
True,2,1,Jeżyce,50,330000.0
True,4,2,Grunwald,89,439000.0
True,2,0,Grunwald,55,259500.0
True,2,4,Jeżyce,56,355000.0
True,2,1,Jeżyce,38,282000.0
True,2,2,Górczyn,52,335000.0
True,2,1,Grunwald,51,375000.0
True,3,4,Stare,70,399000.0
False,4,0,Plewiska,30,474000.0
True,2,0,Grunwald,55,309000.0
True,3,0,Rataje,57,379000.0
True,3,1,Nowe,62,399000.0
True,3,5,Grunwald,60,570000.0
True,2,3,Nowe,50,105000.0
True,3,6,Dębiec,63,296000.0
True,2,1,Winiary,39,326000.0
True,3,0,Stare,136,1725000.0
True,3,4,Stare,50,350550.0
True,2,12,Winogrady,47,252000.0
True,2,2,Wilda,67,368000.0
True,3,3,Grunwald,60,549000.0
True,3,1,Rataje,90,409000.0
True,2,1,Centrum,50,362000.0
True,3,2,Nowe,80,250000.0
True,4,2,Nowe,66,399900.0
True,3,4,Wilda,60,429000.0
True,2,0,Górczyn,65,370000.0
True,2,1,Górczyn,13,274000.0
True,2,3,Piątkowo,59,239000.0
True,2,2,Rataje,90,259000.0
True,2,0,Wilda,55,246330.0
True,3,4,Winogrady,48,289000.0
True,3,4,Stare,70,100000.0
True,2,2,Sołacz,60,270000.0
True,2,3,Grunwald,70,430000.0
True,2,0,Podolany,93,355000.0
True,2,11,Winogrady,47,287000.0
False,5,0,Starołęka,193,1200000.0
True,3,3,Winogrady,48,305000.0
True,3,3,Piątkowo,60,329000.0
True,3,0,Piątkowo,63,315000.0
True,2,2,Grunwald,45,267705.0
True,2,1,Jeżyce,50,247707.0
True,4,5,Winogrady,65,388750.0
True,4,4,Jeżyce,57,371931.0
True,2,0,Stare,38,232408.0
True,2,1,Jeżyce,50,247708.0
True,2,0,Jeżyce,50,242731.0
True,2,1,Jeżyce,50,247710.0
True,3,1,Jeżyce,53,339200.0
True,4,0,Rataje,85,349100.0
True,3,1,Stare,49,296277.0
True,3,1,Jeżyce,68,333694.0
True,2,0,Naramowice,40,250000.0
True,2,0,Rataje,30,200000.0
True,4,2,Sołacz,87,470000.0
True,4,4,Piątkowo,76,370000.0
True,3,0,Piątkowo,60,315000.0
True,2,10,Winogrady,80,287000.0
True,2,3,Nowe,47,230000.0
True,3,3,Centrum,120,900000.0
True,3,4,Piątkowo,16,399000.0
True,2,6,Sołacz,71,250000.0
True,2,4,Piątkowo,20,318000.0
True,2,9,Rataje,49,269000.0
True,2,5,Grunwald,59,239592.0
True,3,0,Grunwald,16,307881.0
True,3,3,Grunwald,21,319055.0
True,2,2,Grunwald,22,267702.0
True,3,2,Dębiec,70,299000.0
True,3,0,Stare,25,435000.0
True,2,0,Grunwald,60,690000.0
True,2,1,Nowe,33,204450.0
True,3,2,Nowe,56,228144.0
True,2,1,Winogrady,37,285383.0
True,3,2,Winogrady,21,391729.0
True,3,0,Jeżyce,78,330000.0
True,3,4,Winogrady,76,269984.0
True,2,8,Winogrady,47,344141.0
True,3,6,Jeżyce,24,318384.0
True,2,0,Jeżyce,54,249641.0
True,2,2,Dębiec,33,177000.0
True,2,2,Jeżyce,56,325000.0
True,3,4,Rataje,70,429000.0
True,3,3,Dolna,67,380000.0
True,2,3,Jeżyce,66,448995.0
True,2,3,Jeżyce,70,350000.0
True,2,2,Dolna,38,269000.0
True,3,1,Grunwald,96,620000.0
True,2,0,Łazarz,52,275000.0
True,2,0,Centrum,40,440000.0
False,2,5,Centrum,22,505877.0
False,3,5,Centrum,80,886860.0
False,2,5,Centrum,77,502136.0
False,2,5,Centrum,33,798966.0
False,3,4,Centrum,69,561663.0
False,2,4,Centrum,77,396248.0
False,2,4,Centrum,18,368019.0
False,3,4,Centrum,53,542141.0
False,4,4,Centrum,59,698508.0
False,2,4,Centrum,71,394787.0
False,3,4,Centrum,61,597184.0
False,2,3,Centrum,25,354177.0
False,2,3,Centrum,17,353537.0
False,3,3,Centrum,53,509468.0
False,4,3,Centrum,89,652026.0
False,2,3,Centrum,16,353457.0
False,2,3,Centrum,58,356818.0
False,3,2,Centrum,78,496573.0
False,2,2,Centrum,15,349668.0
False,3,2,Centrum,53,481903.0
False,2,2,Centrum,16,309978.0
False,2,2,Centrum,87,389528.0
False,2,2,Centrum,14,341776.0
False,2,2,Centrum,71,374216.0
False,3,2,Centrum,62,534523.0
False,2,1,Centrum,87,377418.0
False,2,1,Centrum,14,330255.0
False,3,1,Centrum,62,505032.0
True,4,0,Grunwald,67,375000.0
True,5,0,Grunwald,67,375000.0
True,3,2,Grunwald,73,363000.0
True,3,1,Grunwald,40,495000.0
True,3,1,Starołęka,30,270000.0
True,2,2,Grunwald,51,365000.0
True,4,1,Grunwald,113,450000.0
True,2,3,Nowe,30,190520.0
True,2,1,Nowe,93,228492.0
True,2,1,Nowe,55,169620.0
True,2,1,Nowe,54,145000.0
True,3,4,Rataje,48,270000.0
True,4,4,Piątkowo,76,370000.0
True,3,3,Grunwald,52,289000.0
True,3,4,Jeżyce,59,585000.0
True,3,7,Rataje,63,335000.0
True,3,3,Piątkowo,60,329000.0
